TownshipCity,FullName,JobTitle,OfficeAddress,TgosWGS_X,TgosWGS_Y,TgosTWD_X,TgosTWD_Y
鄉鎮市,姓名,職稱,辦公位址,TgosWGS_X,TgosWGS_Y,TgosTWD_X,TgosTWD_Y
苗栗市,邱炳坤,市長,苗栗縣苗栗市建功里府前路76號,120.8191,24.5618,231675.3,2717255.2
苑裡鎮,杜文卿,鎮長,苗栗縣苑裡鎮客庄里信義路1號,120.65323,24.439657,214839.58,2703759.2
通霄鎮,潘志明,代理鎮長,苗栗縣通霄鎮通東里中正路8號,120.68423,24.491287,217995.5,2709470.2
竹南鎮,康世明,鎮長,苗栗縣竹南鎮正南里中正路215巷3號7樓,120.87392,24.683414,237240.7,2730718.5
頭份市,徐定禎,鎮長,苗栗縣頭份市仁愛里中山路232號,120.912994,24.686445,241195.38,2731051.2
後龍鎮,朱秋隆,鎮長,苗栗縣後龍鎮大庄里152號,120.792015,24.613739,228940.97,2723011.5
卓蘭鎮,詹坤金,鎮長,苗栗縣卓蘭鎮新厝里中山路127號,120.82449,24.312965,232187.12,2689695
大湖鄉,胡娘妹,鄉長,苗栗縣大湖鄉明湖村中正路80號,120.86617,24.423386,236429.27,2701919.8
公館鄉,曾美露,鄉長,苗栗縣公館鄉玉泉村14鄰368-10號,120.8284,24.505959,232609.64,2711069.2
銅鑼鄉,謝其全,鄉長,苗栗縣銅鑼鄉銅鑼村永樂路15號,120.78789,24.487034,228501.17,2708978.8
南庄鄉,賴盛為,鄉長,苗栗縣南庄鄉東村大同路3號,121.00032,24.596992,250032.27,2721141
頭屋鄉,江村貴,鄉長,苗栗縣頭屋鄉頭屋村中正街48號,120.8511,24.577732,234918.9,2719015.8
三義鄉,徐文達,鄉長,苗栗縣三義鄉廣盛村復興路30號,120.77025,24.412813,226700.19,2700761.5
西湖鄉,楊秀瑕,代理鄉長,苗栗縣西湖鄉龍洞村1鄰龍洞5號,120.75704,24.55677,225388.69,2716707.8
造橋鄉,黃純德,鄉長,苗栗縣造橋鄉造橋村14鄰3之1號,120.86519,24.638563,236352.44,2725752
三灣鄉,溫志強,鄉長,苗栗縣三灣鄉三灣村11鄰親民路19號,120.956535,24.653158,245600.69,2727362.2
獅潭鄉,謝春梅,鄉長,苗栗縣獅潭鄉新店村11鄰130-2號,120.92046,24.539354,241941.9,2714759.5
泰安鄉,劉美蘭,鄉長,苗栗縣泰安鄉清安村洗水坑69號,120.90812,24.447245,240684.81,2704558.8
